"id";"name";"province";"city";"address";"latitude";"longitude";"coord_type";"location_type";"create_date";"last_modify"
1;"博世汽车部件(苏州)有限公司(星龙街)";"江苏";"苏州";"工业园区星龙街455号";"31.335478";"120.794214";0;0;"2018-06-14 09:32:47";""
2;"博世汽车部件(苏州)有限公司";"江苏";"苏州";"工业园区苏虹西路126号";"31.328257";"120.667855";0;0;"2018-06-14 09:44:17";""
3;"长城汽车哈弗技术中心";"河北";"保定";"莲池区朝阳南大街2076号";"38.830489";"115.461931";0;5;"2018-06-14 09:48:20";""
4;"长城汽车股份有限公司徐水分公司";"河北";"保定";"徐水区遂城镇朝阳北大街299";"39.033158";"115.471821";0;5;"2018-06-14 09:52:23";""
